"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2020","40,469.2","40,391.3","40,936.1","40,080.0","1.11M","0.97%"
"02/19/2020","39,924.4","40,469.2","40,547.0","39,846.5","468.18K","-1.35%"
"02/20/2020","39,924.4","40,391.3","40,469.2","39,846.5","695.27K","0.00%"
"02/21/2020","38,523.5","39,924.4","39,924.4","37,939.8","3.29M","-3.51%"
"02/24/2020","36,033.1","37,511.8","37,978.7","36,033.1","1.36M","-6.46%"
"02/25/2020","37,978.7","35,021.4","37,978.7","35,021.4","1.11M","5.40%"
"02/26/2020","36,577.9","37,044.8","37,589.6","36,461.1","787.76K","-3.69%"
"02/27/2020","36,655.7","36,577.9","37,122.7","36,149.8","908.91K","0.21%"
"02/28/2020","35,410.5","35,799.6","36,110.9","35,060.3","1.22M","-3.40%"
"03/02/2020","35,138.1","35,721.8","35,721.8","35,021.4","714.74K","-0.77%"
"03/03/2020","36,500.1","36,422.2","37,161.6","35,566.2","1.28M","3.88%"
"03/04/2020","35,916.4","36,577.9","36,577.9","35,721.8","828.01K","-1.60%"
"03/05/2020","36,305.5","36,227.7","36,772.5","36,188.8","1.10M","1.08%"
"03/06/2020","36,461.1","35,410.5","36,694.6","35,410.5","699.27K","0.43%"
"03/09/2020","33,931.8","34,009.7","34,787.9","33,931.8","1.19M","-6.94%"
"03/10/2020","32,997.9","33,075.7","34,243.1","32,141.8","1.72M","-2.75%"
"03/11/2020","30,702.1","33,854.0","33,854.0","30,702.1","1.91M","-6.96%"
"03/12/2020","28,561.9","28,600.8","29,340.1","28,561.9","1.93M","-6.97%"
"03/13/2020","27,238.9","26,577.3","28,561.9","26,577.3","2.93M","-4.63%"
"03/16/2020","25,526.7","27,238.9","27,978.2","25,332.1","2.76M","-6.29%"
"03/17/2020","26,304.9","23,814.5","26,382.8","23,814.5","2.23M","3.05%"
"03/18/2020","26,888.6","26,460.6","27,628.0","26,421.7","2.19M","2.22%"
"03/19/2020","25,993.6","26,421.7","26,616.2","25,487.8","1.14M","-3.33%"
"03/20/2020","25,760.2","26,149.3","26,499.5","25,604.5","970.09K","-0.90%"
"03/23/2020","23,970.2","24,125.8","24,826.3","23,970.2","3.43M","-6.95%"
"03/24/2020","24,592.8","24,125.8","24,865.2","23,892.4","1.54M","2.60%"
"03/25/2020","25,838.0","25,993.6","26,032.6","25,526.7","2.03M","5.06%"
"03/26/2020","25,915.8","25,682.3","26,616.2","25,020.8","1.44M","0.30%"
"03/27/2020","25,682.3","25,760.2","26,266.0","25,215.4","1.42M","-0.90%"
"03/30/2020","24,048.0","24,125.8","24,826.3","23,892.4","1.72M","-6.36%"
"03/31/2020","24,009.1","24,904.1","25,020.8","22,958.5","1.28M","-0.16%"
"04/01/2020","24,981.9","24,048.0","25,682.3","23,970.2","1.50M","4.05%"
"04/03/2020","26,694.1","25,371.0","26,694.1","25,371.0","1.95M","6.85%"
"04/06/2020","28,561.9","27,783.6","28,561.9","27,316.7","2.37M","7.00%"
"04/07/2020","28,795.4","29,184.5","29,340.1","28,017.1","2.26M","0.82%"
"04/08/2020","29,534.7","27,861.5","29,573.6","27,316.7","1.83M","2.57%"
"04/09/2020","29,340.1","29,534.7","30,040.6","29,301.2","1.70M","-0.66%"
"04/10/2020","28,717.5","29,028.8","29,418.0","28,561.9","1.51M","-2.12%"
"04/13/2020","28,912.1","28,561.9","29,340.1","28,484.1","1.33M","0.68%"
"04/14/2020","28,406.2","28,834.3","29,223.4","27,861.5","1.53M","-1.75%"
"04/15/2020","29,028.8","28,561.9","29,340.1","28,561.9","1.39M","2.19%"
"04/16/2020","29,028.8","28,951.0","29,028.8","28,600.8","1.52M","0.00%"
"04/17/2020","29,106.7","29,456.9","29,729.3","28,951.0","1.45M","0.27%"
"04/20/2020","28,873.2","29,495.8","29,573.6","28,756.4","1.73M","-0.80%"
"04/21/2020","27,005.4","28,017.1","28,639.7","27,005.4","2.82M","-6.47%"
"04/22/2020","28,172.8","25,760.2","28,834.3","25,760.2","1.78M","4.32%"
"04/23/2020","28,172.8","28,795.4","28,951.0","28,094.9","993.50K","0.00%"
"04/24/2020","28,017.1","28,367.3","28,367.3","27,472.3","745.70K","-0.55%"
"04/27/2020","27,316.7","28,172.8","28,328.4","27,316.7","1.52M","-2.50%"
"04/28/2020","27,355.6","27,316.7","27,861.5","26,849.7","741.40K","0.14%"
"04/29/2020","27,705.8","27,238.9","27,939.3","27,238.9","748.95K","1.28%"
"05/04/2020","27,472.3","27,705.8","28,328.4","27,316.7","824.59K","-0.84%"
"05/05/2020","27,472.3","27,472.3","27,861.5","27,394.5","537.86K","0.00%"
"05/06/2020","28,017.1","27,589.1","28,017.1","27,472.3","929.84K","1.98%"
"05/07/2020","29,223.4","28,250.6","29,262.3","28,250.6","3.18M","4.31%"
"05/08/2020","29,573.6","29,534.7","30,585.3","29,223.4","3.22M","1.20%"
"05/11/2020","29,962.7","29,962.7","30,351.9","29,534.7","1.52M","1.32%"
