Date,Price,Open,High,Low,Vol.,Change %
10/21/2020,"32,959.00","32,997.90","33,854.00","32,803.40",3.80M,0.83%
10/22/2020,"33,426.00","32,920.10","33,426.00","32,608.80",2.18M,1.42%
10/23/2020,"33,309.20","33,776.20","33,776.20","33,309.20",2.44M,-0.35%
10/26/2020,"31,908.40","33,075.70","33,464.90","31,908.40",4.25M,-4.21%
10/27/2020,"31,674.90","31,908.40","32,297.50","31,674.90",3.32M,-0.73%
10/28/2020,"30,585.30","31,519.20","31,674.90","30,585.30",3.65M,-3.44%
10/29/2020,"30,079.50","30,196.20","30,741.00","29,923.80",3.55M,-1.65%
10/30/2020,"29,962.70","30,351.90","30,507.50","29,690.30",2.11M,-0.39%
11/2/2020,"30,274.00","29,962.70","30,429.70","29,962.70",1.36M,1.04%
11/3/2020,"30,663.20","30,351.90","30,741.00","30,351.90",1.30M,1.29%
11/4/2020,"30,935.60","30,663.20","31,207.90","30,624.30",1.36M,0.89%
11/5/2020,"30,390.80","30,935.60","30,935.60","30,390.80",1.61M,-1.76%
11/6/2020,"30,390.80","30,702.10","30,702.10","30,235.10",813.30K,0.00%
11/9/2020,"30,546.40","30,702.10","30,702.10","30,429.70",1.49M,0.51%
11/10/2020,"30,663.20","31,013.40","31,130.10","30,663.20",1.71M,0.38%
11/11/2020,"30,663.20","30,663.20","30,857.70","30,468.60",910.40K,0.00%
11/12/2020,"30,818.80","30,741.00","30,974.50","30,663.20",1.42M,0.51%
11/13/2020,"31,363.60","30,896.60","31,363.60","30,857.70",2.31M,1.77%
11/16/2020,"31,052.30","31,402.50","31,752.70","31,052.30",2.44M,-0.99%
11/17/2020,"31,363.60","31,130.10","31,363.60","30,935.60",1.83M,1.00%
11/18/2020,"31,169.00","31,363.60","31,402.50","31,130.10",1.98M,-0.62%
11/19/2020,"31,441.40","31,207.90","31,752.70","31,207.90",2.25M,0.87%
11/20/2020,"32,064.00","31,674.90","32,102.90","31,674.90",3.17M,1.98%
11/23/2020,"31,986.20","32,297.50","32,297.50","31,558.20",1.65M,-0.24%
11/24/2020,"31,674.90","31,947.30","31,986.20","31,441.40",2.46M,-0.97%
11/25/2020,"32,141.80","31,908.40","32,258.60","31,558.20",3.49M,1.47%
11/26/2020,"33,153.60","32,141.80","33,153.60","31,908.40",5.48M,3.15%
11/27/2020,"33,036.80","33,309.20","33,348.10","32,725.50",2.92M,-0.35%
11/30/2020,"32,453.10","33,036.80","33,075.70","32,453.10",2.15M,-1.77%
12/1/2020,"32,453.10","31,908.40","32,531.00","31,752.70",3.66M,0.00%
12/2/2020,"32,297.50","32,492.10","32,686.60","32,219.70",2.31M,-0.48%
12/3/2020,"32,375.30","32,336.40","32,608.80","32,219.70",2.31M,0.24%
12/4/2020,"32,414.20","32,375.30","32,920.10","32,297.50",3.22M,0.12%
